,galactose,acetate,pyruvate,glycerol,fructose,succinate,glucose,glycerol+aa,lb
b2714,1.16929948075e-06,1.05669541232e-06,1.74647911576e-06,2.10434218679e-06,0.0,1.45682090206e-06,1.08406794355e-06,0.0,1.91418655737e-06
b2715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2717,7.93039271153e-07,4.67951593433e-07,5.75393876352e-07,5.63411705652e-07,4.49149516661e-07,4.83034488529e-07,3.27598701829e-07,3.40400531766e-07,2.00466431378e-07
b2718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2721,1.46475657206e-07,4.97579801706e-08,1.11173544267e-07,2.19225906141e-07,3.9105161636e-07,3.24446276019e-07,1.2549623369e-07,3.00515186469e-07,2.28658050734e-08
b2722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2725,7.34474883401e-08,6.70255010132e-07,2.6112950084e-07,4.55253717935e-07,1.2765446827e-07,7.28843504831e-08,2.04507134528e-06,2.54980329444e-06,3.32713838388e-06
b2726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2727,1.52438815869e-06,1.61183353563e-06,1.10549405477e-06,9.31954398966e-07,1.40054145452e-06,1.53725533211e-06,1.32157724797e-06,1.04756684311e-06,2.38401127276e-06
b2728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2730,1.75546407226e-06,5.79659927127e-07,6.99277167718e-07,7.82593248996e-07,8.29830859521e-07,1.09236391011e-06,1.00479433688e-06,6.18278530679e-07,7.32272657443e-07
b2731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2733,3.33979270378e-06,4.6406994795e-06,8.98749493808e-06,5.25939310628e-06,5.83234306665e-06,3.00387169345e-06,6.56650009991e-06,6.1893693865e-06,1.30277545498e-05
b2734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2735,9.36999229208e-09,1.2004453893e-09,3.20278829866e-08,1.76747395008e-07,0.0,1.01665626962e-07,7.53448558604e-08,0.0,1.92756831334e-07
b2736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2739,3.95156711966e-07,5.75294027302e-08,4.93985804776e-08,9.96837336027e-08,0.0,2.56429508293e-08,3.77902453771e-07,0.0,1.74778527331e-07
b2740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b2741,1.23843652665e-05,9.49887266521e-06,5.80253681759e-06,1.34721682117e-05,9.46655735033e-06,7.15046501594e-06,1.47618161253e-05,3.27025984245e-05,5.99807728145e-05
b2742,2.19956158154e-05,1.59330981285e-05,2.59955360576e-05,2.44203122743e-05,1.72550913834e-05,1.69806553207e-05,2.44960733258e-05,1.92028220689e-05,2.0068260759e-05
b2743,1.22805144248e-05,7.58118978488e-06,9.17491371946e-06,8.14930448798e-06,7.82183273417e-06,1.1190253465e-05,7.73900865754e-06,6.99783595454e-06,6.9461363843e-06
b2744,7.23364286218e-06,7.843981978e-06,1.00677461605e-05,7.58288240828e-06,5.11543467557e-06,7.91190519594e-06,7.65753272932e-06,6.55325763118e-06,6.77571445868e-06
b2745,6.65781002989e-06,1.23062250075e-05,1.26750782094e-05,1.26519024277e-05,1.13831477582e-05,1.11833848462e-05,1.61688454337e-05,1.12858018559e-05,1.34774800419e-05
b2746,4.35537408304e-05,4.32243351013e-05,4.17159177849e-05,4.99006775928e-05,4.5971312104e-05,5.5787810685e-05,4.4490473545e-05,0.000105371854301,9.69705461255e-05
